"R0000100","R0000600","R0001800","R0008800","R0009100","R0009600","R0010300","R0010400","R0010500","R0010600","R0013200","R0013400","R0015300","R0145100","R0146100","R0149800","R0149900","R0173600","R0214700","R0214800","R0216400","R0216601","R0217900","R0217910","T0857100","T2015100","T2998600","T3942500","T4876800","T5593000"
1,20,1,-4,1,12,7,7,5,5,3,-4,2,0,-4,-4,-4,5,3,2,1,4,30000,0,-5,-5,-5,-5,-5,-5
2,20,1,-4,8,12,7,7,5,5,3,-4,3,0,-4,-4,-4,5,3,2,1,1,20000,0,2,2,2,2,2,2
3,17,1,-4,3,5,7,7,2,5,4,-4,4,0,-4,2,4,5,3,2,1,1,22390,0,3,3,-5,3,3,3
4,16,1,-4,3,3,7,7,1,5,3,-4,2,0,-4,2,4,5,3,2,1,2,22390,0,-5,-5,-5,-5,-5,2
5,19,1,-4,1,5,7,7,1,5,3,-4,3,0,-4,-4,-4,1,3,1,1,3,36000,0,-5,-5,-5,-5,-5,-5
6,18,1,-4,1,5,7,0,1,5,2,-4,2,0,-4,-4,-4,1,3,1,1,3,35000,0,-4,-4,-4,-4,-4,-4
7,14,1,-4,1,5,7,7,2,5,3,-4,3,0,-4,2,-4,1,3,1,1,2,8502,0,-4,-4,-4,-5,-5,-5
8,20,1,1,7,3,9,9,2,1,-3,1,2,1,4,-4,-4,6,3,2,1,4,7227,0,3,3,3,3,3,3
9,15,1,-4,4,12,7,7,5,5,4,-4,4,0,-4,2,-4,1,3,1,1,2,17000,0,-4,-4,-4,-4,-4,-4
10,18,1,-4,3,5,7,7,2,5,2,-4,2,0,-4,-4,-4,6,3,2,1,1,3548,1,-5,-5,-5,-5,-5,-5
11,19,1,-4,1,5,7,7,5,5,5,-4,5,0,-4,-4,-4,1,3,1,1,3,12000,0,-5,-5,-5,-5,-5,-5
12,19,1,-4,3,5,7,7,5,5,3,-4,3,0,-4,-4,-4,5,3,2,1,3,25000,0,-5,-5,-5,-5,-5,-5
13,20,1,-4,2,11,7,7,2,5,3,-4,3,0,-4,-4,-4,1,3,1,1,3,20000,0,-4,-5,-5,-5,-5,-5
14,15,1,-4,2,11,7,7,5,5,3,-4,3,0,-4,2,3,5,3,2,1,2,-2,-3,0,0,0,0,0,0
15,15,1,-4,1,11,7,7,5,5,2,-4,2,0,-4,2,-4,1,3,1,1,2,22000,0,-4,-4,-4,-4,-4,-4
16,20,1,-4,3,12,7,7,2,5,2,-4,2,0,-4,-4,-4,5,3,2,1,4,48000,0,3,3,3,3,3,3
17,22,1,-4,2,3,9,9,2,5,2,-4,2,0,-4,-4,-4,1,3,1,1,4,15000,0,-4,-4,-4,-4,-4,-4
18,21,1,-4,2,3,9,1,2,5,3,-4,3,0,-4,-4,-4,1,3,1,3,4,4510,0,-4,-4,-4,-4,-4,-4
19,21,1,1,3,5,7,7,1,1,5,-4,2,0,-4,-4,-4,5,3,2,1,4,9000,0,1,-5,1,-5,-5,-5
20,19,1,-4,2,12,7,7,3,5,2,-4,2,0,-4,-4,-4,5,3,2,1,3,50000,0,1,1,-5,1,1,1
21,17,1,-4,2,12,7,0,2,5,4,-4,3,0,-4,2,3,5,3,2,1,2,40000,0,0,0,0,0,0,0
22,16,1,-4,1,22,1,1,4,5,4,-4,3,1,3,2,3,5,3,2,1,2,18000,0,0,0,0,0,0,0
23,20,1,-4,2,6,7,7,1,5,1,-4,1,0,-4,-4,-4,1,3,1,1,4,44000,0,-5,-5,-5,-5,-5,-5
24,18,1,-4,2,6,7,7,1,5,5,-4,5,0,-4,-4,-4,1,3,1,1,2,44000,0,-5,-5,-5,-5,-5,-5
25,19,1,-4,1,6,0,0,1,5,2,-4,2,0,-4,-4,-4,5,3,2,1,3,-2,-3,2,2,2,2,2,2
26,16,1,-4,2,3,3,3,3,5,2,-4,2,0,-4,2,-4,1,3,1,1,2,30000,0,-5,-5,-4,-4,-5,-5
27,18,1,-4,1,3,1,1,4,5,2,-4,2,0,-4,-4,-4,5,3,2,1,3,20000,0,2,2,2,2,2,2
28,15,1,-4,1,3,9,9,4,5,3,-4,3,0,-4,2,4,5,3,2,1,2,20000,0,-5,-5,0,-5,-5,-5
29,18,1,-4,1,7,9,9,5,5,2,-4,3,0,-4,-4,-4,5,3,2,1,4,24200,0,0,0,0,0,0,0
30,20,1,-4,1,7,9,9,2,5,4,-4,2,0,-4,-4,-4,5,3,2,1,4,24200,0,3,3,3,3,3,3
31,15,1,-4,2,19,7,7,2,5,2,-4,2,0,-4,2,-4,4,1,1,1,2,5088,1,-4,-4,-4,-4,-4,-4
32,21,1,-4,2,19,7,0,1,5,4,-4,2,0,-4,-4,-4,8,1,2,1,3,22500,0,0,-5,0,-5,-5,-5
33,16,1,-4,2,19,7,7,5,5,12,-4,12,0,-4,4,-4,4,1,1,1,2,23500,0,-4,-4,-4,-4,-4,-4
34,20,1,-4,5,3,9,9,2,5,3,-4,3,0,-4,-4,-4,1,3,1,1,4,21000,0,-4,-4,-4,-4,-4,-4
35,15,2,-4,5,3,9,9,4,5,2,-4,2,0,-4,1,2,5,3,2,1,2,18000,0,-5,-5,-5,-5,-5,-5
36,16,2,-4,3,3,7,7,1,5,0,-4,0,0,-4,-4,-4,1,3,1,1,1,21000,0,-4,-4,-4,-4,-4,-4
37,20,1,-4,4,6,7,7,5,5,3,-4,3,0,-4,-4,-4,5,3,2,1,4,37000,0,1,1,1,1,1,1
38,16,1,-4,4,6,7,7,5,5,5,-4,5,0,-4,3,4,5,3,2,1,2,37000,0,0,0,0,0,0,0
39,20,1,-4,4,3,3,3,1,5,1,-4,1,0,-4,-4,-4,1,3,1,-4,4,22000,0,-4,-4,-4,-4,-4,-4
40,19,1,-4,2,12,7,7,1,5,1,-4,1,0,-4,-4,-4,2,3,1,1,4,5500,0,-4,-4,-4,-4,-4,-4
41,16,1,-4,3,12,7,7,5,5,6,-4,6,0,-4,1,-4,2,3,1,1,2,5500,0,-4,-4,-4,-4,-4,-4
42,15,1,-4,1,28,7,7,4,5,3,-4,3,0,-4,1,-4,1,3,1,1,2,21000,0,-4,-4,-4,-4,-4,-4
43,17,1,-4,2,28,0,0,1,5,2,-4,2,0,-4,2,2,6,3,2,-4,2,-2,-3,4,4,4,4,4,4
44,17,1,-4,4,3,3,3,4,5,4,-4,4,0,-4,2,-3,5,3,2,1,2,30000,0,2,2,2,2,2,2
45,19,1,-4,2,5,7,7,2,5,2,-4,2,0,-4,-4,-4,1,3,1,1,4,15000,0,-5,-5,-5,-5,-5,-5
46,16,1,-4,0,5,7,7,4,5,2,-4,2,0,-4,2,3,5,3,2,1,2,28000,0,2,2,-5,-5,-5,-5
47,20,1,-4,1,3,0,0,1,5,0,-4,0,0,-4,-4,-4,1,3,1,1,4,32388,0,-4,-4,-4,-4,-4,-4
48,20,1,-4,3,5,7,7,-3,5,2,-4,3,1,3,-4,-4,2,3,1,1,4,9000,0,-5,-5,-5,-5,-5,-5
49,20,1,1,6,6,7,7,5,1,3,-4,3,0,-4,-4,-4,5,3,2,1,4,23900,0,2,2,2,2,2,2
50,20,2,-4,4,6,7,7,2,5,4,-4,2,0,-4,-4,-4,5,3,2,1,4,28000,0,5,5,5,5,5,5
51,16,1,-4,4,6,7,7,1,5,3,1,3,0,-4,-4,-4,1,3,1,1,2,28000,0,-5,-5,-5,-5,-5,-5
52,20,2,1,6,5,7,7,4,5,7,-4,5,0,-4,-4,-4,1,3,1,1,4,8000,0,-5,-5,-5,-4,-4,-4
53,15,2,-4,3,19,7,7,2,5,0,-4,0,0,-4,3,-4,4,1,1,1,2,15646,0,0,0,0,0,0,0
54,20,1,-4,3,22,7,7,2,5,3,-4,3,0,-4,-4,-4,1,3,1,1,1,15000,0,-5,-5,-4,-5,-4,-4
55,20,2,-3,2,12,7,7,1,5,0,-4,0,0,-4,-4,-4,1,3,1,1,4,12000,0,-5,-5,-5,-5,-5,-5
56,14,2,-4,2,12,7,7,5,5,0,-4,0,0,-4,4,4,5,3,2,1,2,12000,0,-5,-5,-5,-5,-5,-5
57,20,2,1,1,5,7,7,3,1,2,-4,2,1,4,-4,-4,5,3,2,1,4,23289,0,3,3,3,3,3,3
58,22,1,-4,2,3,3,3,1,5,3,-4,3,0,-4,-4,-4,5,3,2,1,3,50000,0,3,3,3,3,3,3
59,20,1,-4,2,28,3,3,1,5,2,-4,2,0,-4,-4,-4,1,3,1,1,4,50000,0,-4,-4,-4,-4,-4,-4
60,17,2,-4,2,28,3,3,2,5,2,-4,2,0,-4,2,-4,1,3,1,1,2,50000,0,-5,-5,-5,-4,-5,-5
61,16,1,-4,3,22,7,7,2,5,2,-4,2,0,-4,2,2,5,3,2,1,2,32000,0,3,3,3,3,3,3
62,14,2,-4,3,6,7,7,1,5,4,-4,4,0,-4,2,3,5,3,2,1,2,32000,0,3,3,3,3,3,3
63,19,1,-4,3,5,7,7,2,5,4,-4,4,0,-4,-4,-4,1,3,1,1,3,37000,0,-4,-4,-4,-4,-4,-4
64,17,1,-4,3,5,7,7,2,5,0,-4,3,0,-4,3,-4,1,3,1,1,2,37000,0,-5,-5,-5,-5,-5,-5
65,15,1,-4,3,5,7,7,5,5,3,-4,3,0,-4,2,4,5,3,2,1,2,37000,0,-5,-5,-5,-5,-5,-5
66,15,1,-4,3,3,7,7,4,5,6,-4,5,0,-4,2,-4,1,3,1,1,2,-1,-3,-4,-4,-4,-4,-4,-4
67,21,1,-4,1,3,9,0,2,5,3,-4,2,0,-4,-4,-4,1,3,1,1,3,35000,0,-4,-4,-4,-4,-4,-4
68,16,1,-4,1,3,9,9,4,5,3,-4,3,0,-4,2,3,5,3,2,1,2,40000,0,3,3,3,3,3,3
